id;sku;name;barcode;discount_in_percent;min_disc_qty;sell_price;is_vat_applied;is_active;is_stockable;notes;created_at;created_by;last_updated_at;last_updated_by;category_id
762126f9-ebc5-4260-8e48-056c525299a7;lazily towards absolute;beyond;unlucky deeply notwithstanding;19377.56;32439;9235.57;true;false;false;now boohoo;2024-05-24T06:22:08;19242;2024-05-24T02:08:09;4563;82882899-74df-46d3-b4e8-6aae6323c512
b86122ba-e132-44c6-b232-3e5cc3a388b9;opposite;brr inside consequently;frightened cheer duh;7518.82;4962;26690.81;false;true;false;evergreen;2024-05-23T19:02:47;2375;2024-05-24T07:38:00;22673;b9505777-153e-43a7-9b92-826e3fc16d4d
0fa04a73-dd92-4095-9fcd-112842664c41;considering meaty until;wombat so;because anxious;16540.19;8986;23569.58;false;false;true;quest yippee;2024-05-23T21:02:52;25286;2024-05-23T18:18:51;21112;1c14743b-49b8-42b4-803d-4124d30802ea
a1821dea-f88a-48a5-a0be-a13c70120e5f;ah amid stark;indeed concerning abnormally;imagineer money;11823.86;5981;29601.3;true;true;false;ick;2024-05-23T22:46:46;5136;2024-05-24T10:04:04;8346;a4c2dc31-1b49-4b58-89d1-5095853b37d6
9e759c07-5e15-49f9-96ab-69d0550e9b86;yesterday;once;pricey deliberately;30082.33;16656;20163.74;false;false;true;ornament anenst;2024-05-23T17:57:47;10770;2024-05-23T19:40:04;27686;e5a3d030-1ead-47fe-b4b7-99db49435cb5
b7fc5fb0-d12c-4ad6-bc08-0d734050bbd9;parlay apropos;notwithstanding hence stealthily;robust onto bottleful;1417.47;5262;19706.4;false;false;true;of whisper quirkily;2024-05-24T08:01:44;6299;2024-05-24T02:56:40;7618;a2272b68-d7e4-4055-bb8d-4c04d71242e1
74a041c4-393c-4d1b-96a0-f11553080d5d;partner boohoo;gee and;assent unless;13289.58;18112;25507.33;true;true;true;helpless meh luxurious;2024-05-24T12:24:03;13932;2024-05-24T09:25:33;31139;30a4f872-6dba-4294-9aab-f64f2e4e9d88
fc2cae52-9c68-40c5-94ce-ca5873a3a0c9;ew;accidentally er;trundle aha;10552.06;25436;10527.62;false;true;true;elegantly busily;2024-05-23T13:59:44;9231;2024-05-23T20:33:36;23405;f82c4efb-a2f9-4859-8c42-c188e1064be1
9f65d62b-a7e1-4f13-9b74-73aeb5d646b4;as detection opportunist;ill-fated;mmm;9555.6;15331;8656.28;true;false;true;rumor phooey portray;2024-05-24T06:38:29;31687;2024-05-24T09:37:54;32593;b2cee171-4c6f-43fa-8f1f-e2587d3a8322
edc5ae02-8038-41e9-8371-4e34c77e8efb;pfft;huzzah;anxiously;8797.71;25870;7762.42;true;false;true;charming seriously modulo;2024-05-24T04:35:24;22481;2024-05-23T17:31:17;31763;7d0f68a6-c9b4-4248-ad7b-4f19000c64c3
