id;code;name;value;notes
1;clearly if however;mortified after;25159.49;chiffonier trade
2;border;waffle;6265.4;loosely
3;consequently acknowledge;gadzooks;2340.27;enormously
4;intensely eek below;cleverly;22976.55;anti enthrone along
5;compassionate slew wherever;positively gadzooks;26877.77;cygnet
6;continually who;dramatic qua;1880.92;over dab
7;instead if clown;rapidly;18622.67;behind break officially
8;provided uselessly before;at;1779.74;resign revelation
9;crossly frenetically mislead;hastily if;31756.91;yet button
10;lap cheerfully;farrow;22325.32;pecan for
